Price,Bedrooms,Bathrooms,Size
850000,5,4,3588
295900,3,2,1776
199000,4,3,1467
199900,3,3,1950
179900,3,2,1288
290000,3,3,1733
168000,3,2,1128
270000,3,3,1900
1249000,6,7,5103
240000,3,2,1255
219500,5,2,1802
235000,4,3,2336
239800,2,2,1190
269000,3,3,1800
319200,4,3,2006
402500,3,2,2446
425000,3,2,2114
669000,3,3,2600
369000,3,2,1514
239900,3,2,1080
249500,2,2,1088
557000,4,2,1809
339900,6,3,2053
149900,2,2,969
849900,3,4,3375
307000,3,2,1594
259000,4,3,1900
165000,3,2,1050
289900,3,2,1414
879000,3,4,3698
220000,3,2,1200
309000,3,3,1685
580000,3,3,2271
459900,2,2,1150
299000,5,3,2481
309900,4,3,1600
287000,3,2,1269
310000,3,2,1200
229900,3,2,1198
377000,3,2,1363
295000,4,2,1973
225000,3,2,1516
130000,3,2,1080
169990,2,1,920
145000,3,2,1027
184800,4,2,2018
189900,3,2,1253
249000,3,2,1062
185000,4,2,1934
145000,2,2,1041
429000,5,3,2700
419000,2,2,1587
245000,3,3,1859
289900,4,3,2400
175000,3,2,1110
139000,3,2,1075
514900,4,3,2035
549000,3,2,1858
235000,3,3,1261
399000,6,3,2628
259900,3,2,1120
350900,3,2,1686
1399900,4,4,5190
399000,3,2,1840
399000,3,2,1204
199000,2,1,973
350000,3,2,1622
296800,4,2,2125
165000,3,2,1204
210000,3,3,1750
229000,3,2,1458
199500,3,2,1184
110000,3,2,1000
264900,3,3,1197
449900,3,3,2135
159900,3,2,1114
429000,4,2,1870
265000,1,1,566
279900,2,2,1134
174900,3,2,1100
158900,4,2,1144
150000,3,2,1349
269000,3,3,1281
489900,3,3,1957
256000,4,2,1174
335000,4,3,2400
435000,3,2,1236
280000,3,3,1910
409000,4,2,2064
409000,4,2,2064
399000,4,3,1888
389000,4,2,1862
222600,3,2,1106
140000,3,2,1200
220000,5,3,2408
650000,3,3,2703
405000,3,2,1728
409000,3,2,1960
164900,3,2,1092
59900,1,1,628
199900,3,2,1275
95000,2,1,756
170000,2,2,885
720000,4,4,3531
204000,3,2,1712
220000,3,2,1100
498900,4,3,1500
229900,3,2,1671
531905,3,2,1668
114900,2,1,775
145000,3,2,1200
191330,4,2,1237
199900,4,2,1338
266800,4,3,2100
84900,2,2,1222
250000,3,2,1807
220000,4,2,1352
227900,3,2,1503
384900,4,2,1571
529000,4,3,2502
159900,3,2,1526
199000,3,2,1007
125000,3,3,1306
91500,3,2,1313
155000,3,2,1593
409000,3,3,2203
949000,5,4,5200
90000,2,1,756
300000,3,3,2328
179900,3,2,1008
349000,3,2,1346
220000,3,2,1112
155000,3,2,1340
390000,4,2,2236
425000,5,4,3039
249900,3,2,1733
239000,4,3,1947
395000,4,3,1868
375000,3,3,1475
395000,4,3,1868
395000,4,3,1868
230000,4,3,1927
189000,3,2,1292
304900,3,2,1657
169900,3,2,1300
286500,3,2,1700
325000,4,2,2400
375000,3,2,1278
278000,3,2,1396
149000,3,2,1368
209000,3,2,1520
95000,2,2,900
199900,3,2,1407
185000,3,2,1170
449900,4,3,3035
310000,5,4,2900
239900,4,2,1656
187900,2,2,980
450000,3,2,1916
440000,3,3,1756
260000,3,2,1278
40900,3,1,1201
249000,3,2,1275
349000,3,3,2000
175000,3,2,1200
449970,3,2,2000
419000,3,2,1902
400000,3,3,1568
185000,3,2,1257
139900,2,2,1100
174900,3,2,1461
165360,4,2,1353
169000,3,2,1200
240000,3,3,2039
364000,4,3,2150
250000,1,1,748
299900,4,3,1969
281900,4,3,2357
349900,3,1,1522
220000,3,2,1850
774800,3,4,3123
135000,3,2,1200
149900,3,1,1000
599000,3,2,2082
179000,3,2,1200
177000,3,2,1500
177000,3,2,1500
122500,4,2,1248
239500,3,2,1400
214900,3,2,1080
275000,3,2,1460
425000,3,2,1437
274900,2,2,1218
175000,2,2,1152
535000,2,2,1410
540000,2,1,817
389000,2,2,703
250000,3,2,1425
425000,3,2,1807
1195000,5,4,3800
1350000,3,3,2502
78500,1,1,800
549000,3,2,2237
399900,4,2,1860
699000,10,11,4905
129000,2,2,1200
480000,2,2,1698
189000,3,1,1022
639900,3,2,2080
699900,5,4,3000
999000,3,3,3621
599000,3,2,1570
365000,4,2,1860
359900,3,2,1840
995000,4,4,3740
193450,4,2,1217
179900,3,3,1520
329900,3,2,1240
509000,3,2,1936
995000,3,3,2044
545000,3,2,1946
795000,3,3,2028
830000,4,3,2700
54500,2,1,624
149000,3,2,1800
36000,2,2,1056
349000,3,2,1467
299900,4,3,2150
469000,4,2,2004
1195000,2,2,1044
419900,3,2,1576
189000,2,2,1536
163900,3,2,1082
163900,3,2,1237
648000,3,3,2193
130000,3,2,1022
264900,3,2,1232
189900,4,2,1435
200000,4,2,1430
1249000,3,3,2480
525000,3,3,1832
729000,3,3,1953
109900,3,2,1100
850000,3,2,2481
249500,3,2,1704
179900,3,2,1161
149000,3,2,1440
549000,3,2,1701
435000,3,2,1536
299000,3,2,1310
625000,3,2,2187
399000,4,3,2100
186900,4,2,1511
1290000,3,3,2130
264900,2,3,1400
198900,3,2,1225
318000,3,3,1868
2000000,4,4,3576
598000,2,3,2219
439900,3,3,2508
920000,3,3,2817
179900,3,2,1972
325000,2,1,952
369000,3,2,1080
312900,3,2,1454
575000,3,3,1961
26500,2,2,1344
2369000,5,6,4174
67500,2,2,120
1490000,3,3,3201
652000,3,2,1427
449000,3,3,2100
982800,3,2,2306
235000,4,3,2100
579900,4,3,3166
250000,3,2,1280
100000,3,1,870
125000,2,1,960
650000,2,2,919
119900,2,2,1034
209900,3,2,1356
524900,3,2,2380
349000,5,3,3000
349000,5,3,3000
825000,2,3,1840
255000,3,2,1189
